artist,track,album,track_id
"Pitbull, Kesha",Timber,Global Warming: Meltdown (Deluxe Version),3cHyrEgdyYRjgJKSOiOtcS
Marly,You Never Know - Morjac Extended Mix,You Never Know,3wU8bpZXQdWx9cBDwheMbG
American Authors,Best Day Of My Life,"Oh, What A Life",5Hroj5K7vLpIG4FNCRIjbP
DNCE,Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC
Avicii,Wake Me Up,TRUE,0nrRP2bk19rLc0orkWPQk2
Katy Perry,Firework,Teenage Dream,4r6eNCsrZnQWJzzvFh4nlg
Backstreet Boys,I Want It That Way,Millennium,47BBI51FKFwOMlIiX6m8ya
"Jason Derulo, 2 Chainz",Talk Dirty (feat. 2 Chainz),Tattoos,5l3CML2OnzfNs5RfVgbcLt
Ginuwine,Pony - Extended Mix,Greatest Hits,5Xnn4IZ8pjEFLlayvFtLDb
"Jason Derulo, Snoop Dogg",Wiggle (feat. Snoop Dogg),Tattoos (Deluxe Edition),4B4zDmbHdkXZ1wUJv1yKFy
Flo Rida,Whistle,Wild Ones,3bC1ahPIYt1btJzSSEyyrF
"David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Listen,285HeuLxsngjFn4GGegGNm
Eric Prydz,Pjanoo - Club Mix,Pjanoo,5k2QLO4ODcbxlhMq2dGKbi
"Mark Ronson, Bruno Mars",Uptown Funk (feat. Bruno Mars),Uptown Special,32OlwWuMpZ6b0aN2RZOeMS
"Fifth Harmony, Ty Dolla $ign",Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),4tCtwWceOPWzenK2HAIJSb
Miley Cyrus,Wrecking Ball,Bangerz (Deluxe Version),2vwlzO0Qp8kfEtzTsCXfyE
Lady Gaga,Bad Romance,The Fame Monster (Deluxe Edition),0SiywuOBRcynK0uKGWdCnn
Black Devil Disco Club,The Devil In Us - Dub Version,Black Devil In Dub,2OaDuNfF6tT6RJSgbfc5Dl
"Sia, Sean Paul",Cheap Thrills (feat. Sean Paul),This Is Acting,378iszndTZAR4dH8kwsLC6
Kanye West,Flashing Lights,Graduation,0ua0Go4NN4Td7l0Zre6Ce3
Swizz Beatz,Top Down,Top Down,6C4Dpqx6GrqpEgexm615Ik
"Clean Bandit, Anne-Marie, Sean Paul",Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),2hrUO4drrO63i7FYbCLBl2
Justin Bieber,Sorry,Purpose (Deluxe),09CtPGIpYB4BrO8qb1RGsF
"Pitbull, John Ryan",Fireball (feat. John Ryan),Globalization,4Y7XAxTANhu3lmnLAzhWJW
Pharrell Williams,Happy - From  Despicable Me 2 ,G I R L,60nZcImufyMA1MKQY3dcCH
"Shakira, Freshlyground",Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Summer Party Anthems,1ZlHr9FYHT7YTbXCoxPq5C
"Rihanna, JAŸ-Z",Umbrella,Good Girl Gone Bad,2yPoXCs7BSIUrucMdK5PzV
Imagine Dragons,Thunder,Evolve,1zB4vmk8tFRmM9UULNzbLB
Rag'n'Bone Man,Human,Human (Deluxe),58zsLZPvfflaiIbNWoA22O
Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P
"OMI, felix jaehn",Cheerleader (Felix Jaehn Remix) - Radio Edit,Me 4 U,7vFoFDWqTX0mHzLfrF1Cfy
Justin Timberlake,CAN'T STOP THE FEELING! (from DreamWorks Animation's  TROLLS ),CAN'T STOP THE FEELING! (from DreamWorks Animation's  TROLLS ),6JV2JOEocMgcZxYSZelKcc
"Calvin Harris, Rihanna",This Is What You Came For,This Is What You Came For,0azC730Exh71aQlOt9Zj3y
"DJ Snake, Justin Bieber",Let Me Love You,Encore,0lYBSQXN6rCTvUZvg9S0lU
Britney Spears,Toxic,In The Zone,6I9VzXrHxO9rA9A5euc8Ak
Echosmith,Cool Kids,Talking Dreams (Deluxe Edition),13P5rwmk2EsoFRIz9UCeh9
Bruno Mars,Just the Way You Are,Doo-Wops & Hooligans,7BqBn9nzAq8spo5e7cZ0dJ
"Eminem, Rihanna",Love The Way You Lie,Recovery,15JINEqzVMv3SvJTAXAKED
Ed Sheeran,Shape of You,÷ (Deluxe),7qiZfU4dY1lWllzX7mPBI3
Imagine Dragons,Believer,Evolve,0pqnGHJpmpxLKifKRmU6WP
"Camila Cabello, Young Thug",Havana (feat. Young Thug),Camila,1rfofaqEpACxVEHIZBJe6W
Nicki Minaj,Anaconda,The Pinkprint (Deluxe),794F99D5BQHS5ZGRXAs7I5
"DJ Snake, Lil Jon",Turn Down for What,Turn Down for What,67awxiNHNyjMXhVgsHuIrs
"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih
Panic! At The Disco,High Hopes,Pray for the Wicked,1rqqCSm0Qe4I9rUvWncaom
